location,lat,lon,presmax,presmin,N
ATom-1-2016-07-29-1433,33.51,241.28,897.00,274.00,14.00
ATom-1-2016-07-29-1538,27.02,239.48,924.00,275.00,16.00
ATom-1-2016-07-29-1601,24.25,239.48,918.00,274.00,16.00
ATom-1-2016-07-29-1644,19.52,239.48,996.00,275.00,19.00
ATom-1-2016-07-29-1708,16.71,239.48,994.00,262.00,19.00
ATom-1-2016-07-29-1747,12.40,239.48,993.00,262.00,19.00
ATom-1-2016-07-29-1812,9.70,239.47,992.00,262.00,19.00
ATom-1-2016-07-29-1844,6.44,239.48,994.00,262.00,19.00
ATom-1-2016-07-29-1910,6.16,239.46,992.00,238.00,19.00
ATom-1-2016-07-29-1945,9.88,239.48,993.00,239.00,19.00
ATom-1-2016-07-29-2009,12.46,239.44,992.00,239.00,19.00
ATom-1-2016-07-29-2045,16.25,239.48,993.00,239.00,19.00
ATom-1-2016-07-29-2114,18.94,239.47,982.00,216.00,19.00
ATom-1-2016-07-29-2149,22.86,239.48,993.00,217.00,19.00
ATom-1-2016-07-29-2215,25.49,239.48,992.00,197.00,20.00
ATom-1-2016-08-01-1430,35.83,241.02,892.00,301.00,14.00
ATom-1-2016-08-01-2015,76.91,224.66,878.00,275.00,14.00
ATom-1-2016-08-01-2114,77.60,216.17,971.00,262.00,18.00
ATom-1-2016-08-01-2212,71.07,212.02,986.00,263.00,18.00
ATom-1-2016-08-01-2239,69.23,211.53,997.00,217.00,20.00
ATom-1-2016-08-01-2309,65.84,211.98,993.00,217.00,20.00
ATom-1-2016-08-01-2338,64.06,211.11,994.00,217.00,20.00
ATom-1-2016-08-03-1901,60.62,208.47,973.00,300.00,17.00
ATom-1-2016-08-03-2006,55.80,197.98,986.00,301.00,17.00
ATom-1-2016-08-03-2028,54.03,197.86,997.00,238.00,19.00
ATom-1-2016-08-03-2114,49.45,199.14,977.00,228.00,18.00
ATom-1-2016-08-03-2140,47.39,199.67,976.00,301.00,17.00
ATom-1-2016-08-03-2209,44.27,200.38,1004.00,301.00,16.00
ATom-1-2016-08-03-2234,41.78,200.89,1014.00,239.00,20.00
ATom-1-2016-08-03-2306,38.20,201.59,1014.00,239.00,20.00
ATom-1-2016-08-03-2335,35.60,202.05,1013.00,206.00,21.00
ATom-1-2016-08-04-2411,31.62,202.66,1007.00,207.00,20.00
ATom-1-2016-08-04-2437,28.83,203.06,1006.00,178.00,20.00
ATom-1-2016-08-06-1757,19.04,202.73,1009.00,301.00,18.00
ATom-1-2016-08-06-1849,17.66,197.12,996.00,301.00,18.00
ATom-1-2016-08-06-1911,16.58,194.65,996.00,301.00,18.00
ATom-1-2016-08-06-1947,14.99,191.15,994.00,302.00,18.00
ATom-1-2016-08-06-2008,13.75,188.59,993.00,274.00,19.00
ATom-1-2016-08-06-2046,11.34,185.98,992.00,275.00,19.00
ATom-1-2016-08-06-2108,8.71,186.00,991.00,274.00,19.00
ATom-1-2016-08-06-2143,4.91,186.00,992.00,275.00,18.00
ATom-1-2016-08-06-2206,2.21,186.00,990.00,239.00,19.00
ATom-1-2016-08-06-2241,-0.01,187.88,990.00,239.00,19.00
ATom-1-2016-08-06-2310,-0.01,190.13,990.00,393.00,16.00
ATom-1-2016-08-06-2330,-0.01,192.21,991.00,394.00,16.00
ATom-1-2016-08-06-2349,-0.93,193.87,989.00,217.00,20.00
ATom-1-2016-08-07-2432,-5.72,193.12,990.00,217.00,20.00
ATom-1-2016-08-07-2507,-8.66,191.87,989.00,217.00,20.00
ATom-1-2016-08-07-2538,-11.54,190.61,991.00,217.00,20.00
ATom-1-2016-08-08-1935,-15.86,188.75,976.00,250.00,18.00
ATom-1-2016-08-08-2009,-19.90,187.70,1000.00,250.00,19.00
ATom-1-2016-08-08-2045,-23.19,186.97,999.00,227.00,19.00
ATom-1-2016-08-08-2151,-31.29,185.07,1002.00,228.00,19.00
ATom-1-2016-08-08-2216,-33.90,184.36,1001.00,227.00,19.00
ATom-1-2016-08-08-2252,-37.75,183.21,1000.00,228.00,19.00
ATom-1-2016-08-08-2316,-40.01,182.48,999.00,227.00,19.00
ATom-1-2016-08-08-2345,-43.10,181.41,1001.00,227.00,19.00
ATom-1-2016-08-09-2408,-44.94,179.83,1000.00,197.00,20.00
ATom-1-2016-08-09-2501,-45.20,171.39,936.00,197.00,17.00
ATom-1-2016-08-12-2248,-47.09,176.36,983.00,301.00,17.00
ATom-1-2016-08-12-2313,-49.14,178.82,996.00,301.00,18.00
ATom-1-2016-08-12-2343,-51.39,181.84,992.00,301.00,18.00
ATom-1-2016-08-13-2404,-53.17,184.56,991.00,287.00,18.00
ATom-1-2016-08-13-2450,-56.55,190.73,979.00,288.00,17.00
ATom-1-2016-08-13-2511,-58.14,194.37,978.00,262.00,18.00
ATom-1-2016-08-13-2707,-64.65,222.58,978.00,228.00,18.00
ATom-1-2016-08-13-2731,-65.13,229.02,978.00,228.00,18.00
ATom-1-2016-08-13-2819,-65.23,241.73,985.00,228.00,18.00
ATom-1-2016-08-13-2847,-64.89,247.90,983.00,206.00,19.00
ATom-1-2016-08-13-3032,-60.63,271.85,1000.00,197.00,20.00
ATom-1-2016-08-13-3059,-59.10,276.42,999.00,188.00,20.00
ATom-1-2016-08-13-3133,-56.94,281.78,973.00,188.00,19.00
ATom-1-2016-08-13-3200,-55.58,284.73,972.00,302.00,17.00
ATom-1-2016-08-15-1028,-52.52,290.95,965.00,300.00,17.00
ATom-1-2016-08-15-1106,-50.70,296.64,979.00,301.00,17.00
ATom-1-2016-08-15-1129,-49.43,300.01,977.00,300.00,17.00
ATom-1-2016-08-15-1202,-47.38,304.74,979.00,301.00,17.00
ATom-1-2016-08-15-1225,-45.74,307.97,978.00,274.00,18.00
ATom-1-2016-08-15-1412,-36.47,321.57,989.00,275.00,19.00
ATom-1-2016-08-15-1436,-34.36,323.97,988.00,250.00,19.00
ATom-1-2016-08-15-1537,-28.67,329.68,997.00,262.00,19.00
ATom-1-2016-08-15-1603,-26.34,331.79,996.00,238.00,19.00
ATom-1-2016-08-15-1642,-22.81,334.76,1001.00,239.00,19.00
ATom-1-2016-08-15-1715,-20.00,336.97,978.00,238.00,18.00
ATom-1-2016-08-15-1837,-12.50,342.51,999.00,240.00,19.00
ATom-1-2016-08-15-1858,-10.69,343.77,998.00,197.00,20.00
ATom-1-2016-08-17-0804,-6.94,344.61,1008.00,288.00,11.00
ATom-1-2016-08-17-0845,-3.06,343.03,999.00,288.00,18.00
ATom-1-2016-08-17-0908,-0.48,342.30,998.00,287.00,18.00
ATom-1-2016-08-17-0947,3.46,341.20,999.00,288.00,18.00
ATom-1-2016-08-17-1009,6.11,340.45,998.00,262.00,19.00
ATom-1-2016-08-17-1049,10.03,339.32,997.00,262.00,19.00
ATom-1-2016-08-17-1111,12.40,338.51,996.00,250.00,19.00
ATom-1-2016-08-17-1153,16.72,338.89,998.00,250.00,19.00
ATom-1-2016-08-17-1218,19.18,339.03,996.00,262.00,19.00
ATom-1-2016-08-17-1301,24.05,339.27,1000.00,263.00,19.00
ATom-1-2016-08-17-1324,27.19,340.15,998.00,227.00,19.00
ATom-1-2016-08-17-1417,31.57,339.21,1003.00,228.00,19.00
ATom-1-2016-08-17-1445,33.17,337.01,978.00,274.00,18.00
ATom-1-2016-08-17-1512,35.02,334.27,999.00,275.00,19.00
ATom-1-2016-08-17-1535,36.79,333.07,998.00,188.00,20.00
ATom-1-2016-08-17-1609,39.30,333.47,978.00,188.00,14.00
ATom-1-2016-08-20-0904,39.86,333.17,989.00,301.00,18.00
ATom-1-2016-08-20-0941,43.27,331.16,992.00,301.00,18.00
ATom-1-2016-08-20-1003,45.42,329.83,991.00,301.00,18.00
ATom-1-2016-08-20-1031,47.97,329.13,827.00,301.00,12.00
ATom-1-2016-08-20-1048,50.11,328.56,826.00,300.00,12.00
ATom-1-2016-08-20-1421,74.19,305.09,975.00,262.00,18.00
ATom-1-2016-08-20-1451,76.05,299.33,974.00,262.00,18.00
ATom-1-2016-08-20-1536,79.45,279.46,975.00,228.00,18.00
ATom-1-2016-08-20-1617,78.41,283.39,976.00,188.00,19.00
ATom-1-2016-08-20-1708,74.34,297.99,998.00,188.00,20.00
ATom-1-2016-08-20-1740,72.17,302.55,997.00,216.00,20.00
ATom-1-2016-08-22-1254,66.68,307.67,955.00,359.00,12.00
ATom-1-2016-08-22-1316,65.48,302.39,950.00,360.00,15.00
ATom-1-2016-08-22-1335,63.23,295.21,948.00,227.00,17.00
ATom-1-2016-08-22-1439,59.84,286.98,810.00,228.00,12.00
ATom-1-2016-08-22-1535,55.36,279.11,970.00,228.00,18.00
ATom-1-2016-08-22-1609,53.28,276.17,968.00,206.00,19.00
ATom-1-2016-08-22-1637,50.99,273.38,941.00,207.00,18.00
ATom-1-2016-08-22-1704,49.08,271.98,933.00,206.00,17.00
ATom-1-2016-08-22-1735,46.24,269.96,928.00,207.00,17.00
ATom-2-2017-01-26-1712,33.61,241.42,896.00,300.00,14.00
ATom-2-2017-01-26-2135,2.03,239.50,993.00,240.00,19.00
ATom-2-2017-01-26-2203,2.44,239.54,995.00,239.00,19.00
