location,lat,lon,presmax,presmin,N
hippo1-20090109-2113,51.87,245.98,869.00,187.00,13.00
hippo1-20090109-2156,53.74,247.10,915.00,345.00,14.00
hippo1-20090109-2214,55.99,248.59,967.00,345.00,16.00
hippo1-20090109-2239,57.23,248.57,964.00,330.00,14.00
hippo1-20090109-2256,58.98,248.40,949.00,330.00,11.00
hippo1-20090109-2325,60.55,247.45,947.00,330.00,13.00
hippo1-20090109-2346,62.00,245.91,950.00,330.00,15.00
hippo1-20090109-2406,62.43,244.50,948.00,330.00,12.00
hippo1-20090109-2427,61.82,240.11,939.00,330.00,12.00
hippo1-20090109-2451,61.58,237.46,937.00,330.00,14.00
hippo1-20090109-2512,60.43,232.01,914.00,331.00,13.00
hippo1-20090109-2551,59.95,230.40,916.00,329.00,14.00
hippo1-20090112-1928,65.18,211.93,970.00,330.00,15.00
hippo1-20090112-2006,69.74,211.38,998.00,330.00,15.00
hippo1-20090112-2034,70.73,211.19,1001.00,330.00,13.00
hippo1-20090112-2101,73.38,208.85,978.00,330.00,13.00
hippo1-20090112-2121,74.79,207.26,978.00,330.00,15.00
hippo1-20090112-2143,76.78,204.61,978.00,330.00,14.00
hippo1-20090112-2204,78.12,202.33,975.00,162.00,15.00
hippo1-20090114-2021,55.19,197.27,939.00,187.00,17.00
hippo1-20090114-2129,51.98,198.41,939.00,330.00,14.00
hippo1-20090114-2153,49.96,199.01,933.00,330.00,13.00
hippo1-20090114-2235,46.78,199.67,941.00,331.00,13.00
hippo1-20090114-2255,45.30,199.95,938.00,330.00,11.00
hippo1-20090114-2318,43.30,200.36,946.00,330.00,13.00
hippo1-20090114-2338,41.95,200.63,945.00,331.00,13.00
hippo1-20090114-2400,40.36,200.93,935.00,330.00,11.00
hippo1-20090114-2420,38.99,201.21,937.00,330.00,13.00
hippo1-20090114-2442,37.20,201.58,939.00,330.00,14.00
hippo1-20090114-2501,35.98,201.81,944.00,330.00,13.00
hippo1-20090114-2524,34.22,202.16,957.00,332.00,15.00
hippo1-20090114-2544,32.79,202.45,960.00,329.00,11.00
hippo1-20090114-2608,30.66,202.87,968.00,330.00,13.00
hippo1-20090114-2627,28.74,203.16,968.00,162.00,18.00
hippo1-20090114-2716,21.97,202.61,1013.00,162.00,17.00
hippo1-20090116-2147,14.39,199.29,976.00,187.00,16.00
hippo1-20090116-2215,12.65,198.69,975.00,330.00,14.00
hippo1-20090116-2236,10.90,198.10,977.00,330.00,16.00
hippo1-20090116-2255,9.42,197.61,978.00,330.00,14.00
hippo1-20090116-2318,7.37,196.94,978.00,331.00,14.00
hippo1-20090116-2337,5.54,196.34,978.00,323.00,17.00
hippo1-20090116-2402,3.51,195.68,977.00,324.00,15.00
hippo1-20090116-2422,2.07,195.20,976.00,329.00,16.00
hippo1-20090116-2446,0.02,194.51,978.00,331.00,16.00
hippo1-20090116-2503,-1.16,194.14,977.00,330.00,15.00
hippo1-20090116-2520,-3.35,193.45,978.00,330.00,15.00
hippo1-20090116-2539,-5.02,192.92,974.00,329.00,16.00
hippo1-20090116-2602,-6.98,192.13,978.00,330.00,13.00
hippo1-20090116-2622,-8.77,191.39,975.00,162.00,20.00
hippo1-20090116-2711,-14.12,189.37,1012.00,163.00,20.00
hippo1-20090118-2102,-15.44,188.86,998.00,187.00,18.00
hippo1-20090118-2156,-21.53,186.44,979.00,187.00,18.00
hippo1-20090118-2224,-23.25,185.72,978.00,341.00,16.00
hippo1-20090118-2247,-25.09,184.92,981.00,330.00,16.00
hippo1-20090118-2306,-26.40,184.34,981.00,331.00,14.00
hippo1-20090118-2329,-28.40,183.42,979.00,330.00,16.00
hippo1-20090118-2349,-29.72,182.80,977.00,331.00,15.00
hippo1-20090118-2433,-33.11,181.10,978.00,330.00,13.00
hippo1-20090118-2456,-35.02,180.07,973.00,329.00,11.00
hippo1-20090118-2516,-36.72,179.12,974.00,162.00,20.00
hippo1-20090118-2611,-42.78,174.01,999.00,162.00,19.00
hippo1-20090120-2150,-46.46,169.61,938.00,330.00,15.00
hippo1-20090120-2236,-49.78,169.98,977.00,330.00,15.00
hippo1-20090120-2255,-51.21,171.09,976.00,329.00,15.00
hippo1-20090120-2319,-53.16,173.00,978.00,329.00,14.00
hippo1-20090120-2339,-54.46,174.39,978.00,330.00,14.00
hippo1-20090120-2401,-56.42,176.02,977.00,329.00,14.00
hippo1-20090120-2420,-57.72,177.02,977.00,330.00,15.00
hippo1-20090120-2443,-59.75,178.77,977.00,330.00,14.00
hippo1-20090120-2501,-61.18,179.82,977.00,331.00,14.00
hippo1-20090120-2522,-62.97,181.20,966.00,331.00,15.00
hippo1-20090120-2541,-64.44,182.48,966.00,330.00,12.00
hippo1-20090120-2602,-66.43,184.39,955.00,330.00,12.00
hippo1-20090120-2620,-65.75,183.72,953.00,162.00,18.00
hippo1-20090120-2918,-44.39,172.80,1013.00,133.00,14.00
hippo1-20090123-2148,-39.42,179.62,989.00,187.00,17.00
hippo1-20090123-2220,-38.09,181.61,986.00,329.00,16.00
hippo1-20090123-2242,-36.63,183.65,989.00,330.00,16.00
hippo1-20090123-2301,-35.61,185.01,988.00,331.00,15.00
hippo1-20090123-2321,-34.14,186.89,984.00,330.00,16.00
hippo1-20090123-2341,-33.01,188.26,984.00,329.00,11.00
hippo1-20090123-2403,-31.50,190.00,984.00,329.00,14.00
hippo1-20090123-2422,-30.59,191.36,982.00,329.00,13.00
hippo1-20090123-2446,-29.10,193.49,982.00,333.00,16.00
hippo1-20090123-2506,-28.01,194.97,976.00,330.00,13.00
hippo1-20090123-2530,-26.62,197.35,978.00,333.00,12.00
hippo1-20090123-2549,-25.81,198.69,971.00,329.00,16.00
hippo1-20090123-2611,-24.68,200.49,978.00,332.00,14.00
hippo1-20090123-2631,-23.51,202.19,976.00,218.00,17.00
hippo1-20090123-2740,-18.15,209.61,1008.00,216.00,15.00
hippo1-20090126-0352,-21.41,221.39,980.00,179.00,16.00
hippo1-20090126-0420,-21.99,223.14,976.00,330.00,15.00
hippo1-20090126-0444,-22.56,225.40,981.00,330.00,16.00
