/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090112.2034.txt
  70.73 211.19 1001.  330.  13 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   71.1 N,   210.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      227.317
      1.00000      227.317
      3.00000      227.317
      7.00000      96.5168
      10.0000      57.4631
      20.0000      22.2953
      30.0000      18.2797
      40.0000      17.5011
      50.0000      17.0897
      70.0000      16.1044
      100.000      18.2352
      150.000      24.9820
      200.000      38.1869
      250.000      62.3122
      300.000      90.3154
      350.000      118.319
      400.000      120.415
      450.000      114.989
      500.000      99.4400
      550.000      114.483
      600.000      129.526
      650.000      128.354
      700.000      120.447
      750.000      120.609
      800.000      116.675
      850.000      118.257
      875.000      121.044
      900.000      123.831
      925.000      126.618
      950.000      129.405
      975.000      130.587
      1000.00      136.780
      1020.00      136.780
      1040.00      136.780
      1060.00      136.780
