/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090114.2627.txt
  28.74 203.16  968.  162.  18 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   29.4 N,   202.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      39.7577
      1.00000      39.7577
      3.00000      39.7577
      7.00000      29.5497
      10.0000      25.5052
      20.0000      19.3006
      30.0000      16.4760
      40.0000      14.9448
      50.0000      14.8598
      70.0000      23.4072
      100.000      36.8385
      150.000      59.2240
      200.000      71.2286
      250.000      83.3839
      300.000      92.0211
      350.000      81.3014
      400.000      70.5817
      450.000      72.3350
      500.000      85.2233
      550.000      84.2817
      600.000      88.4892
      650.000      92.6967
      700.000      98.3369
      750.000      115.449
      800.000      116.942
      850.000      118.452
      875.000      113.593
      900.000      115.845
      925.000      116.602
      950.000      116.608
      975.000      116.870
      1000.00      116.870
      1020.00      116.870
      1040.00      116.870
      1060.00      116.870
