/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090116.2337.txt
   5.54 196.34  978.  323.  17 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1    4.7 N,   197.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      43.1708
      1.00000      43.1708
      3.00000      43.1708
      7.00000      33.0425
      10.0000      28.1490
      20.0000      19.0914
      30.0000      14.7899
      40.0000      13.0051
      50.0000      15.4407
      70.0000      32.7278
      100.000      56.2968
      150.000      66.5145
      200.000      76.7323
      250.000      86.9500
      300.000      86.9500
      350.000      77.6785
      400.000      78.8880
      450.000      75.6110
      500.000      83.9930
      550.000      78.1344
      600.000      77.9287
      650.000      76.7838
      700.000      74.9914
      750.000      75.6186
      800.000      78.5664
      850.000      78.2050
      875.000      76.3083
      900.000      75.2800
      925.000      74.9200
      950.000      71.9117
      975.000      71.6133
      1000.00      71.6133
      1020.00      71.6133
      1040.00      71.6133
      1060.00      71.6133
