/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090116.2711.txt
 -14.12 189.37 1012.  163.  20 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -14.2 N,   190.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.8094
      1.00000      38.8094
      3.00000      38.8094
      7.00000      29.7326
      10.0000      25.3832
      20.0000      17.9648
      30.0000      14.6973
      40.0000      13.3922
      50.0000      14.3574
      70.0000      26.2596
      100.000      38.5898
      150.000      59.1400
      200.000      57.6475
      250.000      54.3093
      300.000      53.6736
      350.000      52.8978
      400.000      52.8500
      450.000      52.7933
      500.000      52.5417
      550.000      52.6400
      600.000      51.7900
      650.000      51.8740
      700.000      52.0660
      750.000      53.1825
      800.000      53.6775
      850.000      53.1500
      875.000      54.9500
      900.000      54.6900
      925.000      55.6344
      950.000      56.3283
      975.000      56.2817
      1000.00      56.2817
      1020.00      56.2817
      1040.00      56.2817
      1060.00      56.2817
