/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090126.0444.txt
 -22.56 225.40  981.  330.  16 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -21.8 N,   225.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      36.5721
      1.00000      36.5721
      3.00000      36.5721
      7.00000      28.4166
      10.0000      24.3916
      20.0000      17.8312
      30.0000      15.1401
      40.0000      13.8507
      50.0000      14.1351
      70.0000      23.4855
      100.000      34.0239
      150.000      50.8725
      200.000      52.5033
      250.000      54.1342
      300.000      55.7650
      350.000      55.7650
      400.000      54.8675
      450.000      53.3430
      500.000      51.8060
      550.000      51.7822
      600.000      52.2588
      650.000      52.0450
      700.000      51.4250
      750.000      51.3900
      800.000      53.0957
      850.000      50.1050
      875.000      47.7475
      900.000      46.1467
      925.000      45.1700
      950.000      42.3800
      975.000      43.1536
      1000.00      43.1536
      1020.00      43.1536
      1040.00      43.1536
      1060.00      43.1536
