/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090128.2220.txt
  -1.25 265.67  977.  330.  14 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   -0.9 N,   265.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      42.5802
      1.00000      42.5802
      3.00000      42.5802
      7.00000      32.3955
      10.0000      27.8077
      20.0000      18.9778
      30.0000      14.8116
      40.0000      13.0817
      50.0000      15.3935
      70.0000      33.8984
      100.000      52.4846
      150.000      55.7920
      200.000      59.0993
      250.000      62.4067
      300.000      62.4067
      350.000      62.4067
      400.000      69.9373
      450.000      85.8063
      500.000      84.7313
      550.000      84.9800
      600.000      85.7711
      650.000      85.4000
      700.000      82.2500
      750.000      79.6271
      800.000      80.2012
      850.000      78.5140
      875.000      77.6703
      900.000      76.8267
      925.000      76.6667
      950.000      71.7033
      975.000      68.2767
      1000.00      68.2767
      1020.00      68.2767
      1040.00      68.2767
      1060.00      68.2767
