/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-07-29.1945.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
   9.88 239.48  993.  239.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   10.4 N,   240.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      43.0661
      1.00000      43.0661
      3.00000      43.0661
      7.00000      33.2158
      10.0000      28.4714
      20.0000      19.4183
      30.0000      15.6001
      40.0000      14.8530
      50.0000      15.6677
      70.0000      23.5877
      100.000      43.5475
      150.000      52.5406
      200.000      61.5336
      250.000      70.5267
      300.000      67.4064
      350.000      69.0335
      400.000      68.3592
      450.000      65.5595
      500.000      65.3841
      550.000      64.5156
      600.000      65.0527
      650.000      67.2626
      700.000      67.7942
      750.000      68.4575
      800.000      67.9097
      850.000      68.0718
      875.000      67.1255
      900.000      65.8436
      925.000      65.7364
      950.000      65.6280
      975.000      65.1422
      1000.00      64.7440
      1020.00      64.7440
      1040.00      64.7440
      1060.00      64.7440
