/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-04.2437.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  28.83 203.06 1006.  178.  20 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   29.4 N,   202.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.0589
      1.00000      38.0589
      3.00000      38.0589
      7.00000      29.2740
      10.0000      25.4010
      20.0000      19.0791
      30.0000      16.3210
      40.0000      15.2968
      50.0000      15.3409
      70.0000      20.7956
      100.000      38.1513
      150.000      52.1959
      200.000      66.2405
      250.000      69.9733
      300.000      69.6802
      350.000      68.1147
      400.000      72.9937
      450.000      90.9013
      500.000      74.5689
      550.000      73.5161
      600.000      62.4475
      650.000      60.1494
      700.000      60.1542
      750.000      60.7422
      800.000      71.0102
      850.000      73.8903
      875.000      76.8791
      900.000      78.9350
      925.000      80.0414
      950.000      78.6723
      975.000      78.4186
      1000.00      78.7845
      1020.00      78.7845
      1040.00      78.7845
      1060.00      78.7845
