/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-06.2241.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  -0.01 187.88  990.  239.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   -0.9 N,   187.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      44.4197
      1.00000      44.4197
      3.00000      44.4197
      7.00000      33.3984
      10.0000      29.1547
      20.0000      20.6529
      30.0000      15.2904
      40.0000      14.2264
      50.0000      14.6952
      70.0000      22.5164
      100.000      46.4662
      150.000      50.8131
      200.000      55.1600
      250.000      59.5068
      300.000      58.1603
      350.000      59.6965
      400.000      58.1837
      450.000      56.5341
      500.000      57.3546
      550.000      56.5739
      600.000      55.1710
      650.000      55.8240
      700.000      58.6841
      750.000      65.0835
      800.000      63.4498
      850.000      66.5254
      875.000      79.2496
      900.000      76.6792
      925.000      77.1363
      950.000      77.4057
      975.000      77.5394
      1000.00      77.6990
      1020.00      77.6990
      1040.00      77.6990
      1060.00      77.6990
