/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-13.2511.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
 -58.14 194.37  978.  262.  18 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8  -57.8 N,   195.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      137.492
      1.00000      137.492
      3.00000      137.492
      7.00000      67.1091
      10.0000      31.0974
      20.0000      18.4748
      30.0000      17.7705
      40.0000      16.7849
      50.0000      16.0149
      70.0000      15.5415
      100.000      17.5789
      150.000      24.7210
      200.000      40.3907
      250.000      56.0604
      300.000      59.3148
      350.000      61.2493
      400.000      61.7348
      450.000      58.4650
      500.000      60.6360
      550.000      61.2055
      600.000      61.7576
      650.000      62.6823
      700.000      63.1926
      750.000      62.4534
      800.000      61.7030
      850.000      61.3208
      875.000      60.6930
      900.000      61.5348
      925.000      61.8457
      950.000      61.7436
      975.000      61.3776
      1000.00      61.3776
      1020.00      61.3776
      1040.00      61.3776
      1060.00      61.3776
