/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-15.1642.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
 -22.81 334.76 1001.  239.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8  -23.7 N,   335.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      33.4692
      1.00000      33.4692
      3.00000      33.4692
      7.00000      26.1812
      10.0000      24.9921
      20.0000      20.4550
      30.0000      17.1102
      40.0000      15.3573
      50.0000      14.7073
      70.0000      19.8119
      100.000      33.5588
      150.000      46.0475
      200.000      58.5362
      250.000      71.0249
      300.000      55.2569
      350.000      55.9724
      400.000      56.1465
      450.000      53.4734
      500.000      55.9603
      550.000      55.1158
      600.000      55.2690
      650.000      50.9074
      700.000      62.6989
      750.000      73.7286
      800.000      81.1848
      850.000      77.3111
      875.000      71.0400
      900.000      70.4100
      925.000      68.8350
      950.000      68.4482
      975.000      62.7370
      1000.00      63.0033
      1020.00      63.0033
      1040.00      63.0033
      1060.00      63.0033
