/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-17.0947.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
   3.46 341.20  999.  288.  18 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8    2.8 N,   340.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      44.4142
      1.00000      44.4142
      3.00000      44.4142
      7.00000      33.5731
      10.0000      29.2874
      20.0000      20.6448
      30.0000      15.4864
      40.0000      14.3902
      50.0000      14.7781
      70.0000      23.4790
      100.000      44.2414
      150.000      71.7791
      200.000      99.3169
      250.000      126.855
      300.000      126.855
      350.000      116.542
      400.000      99.2021
      450.000      84.7548
      500.000      116.065
      550.000      127.447
      600.000      252.357
      650.000      137.656
      700.000      165.728
      750.000      196.728
      800.000      209.886
      850.000      197.788
      875.000      166.008
      900.000      159.251
      925.000      155.033
      950.000      152.282
      975.000      151.544
      1000.00      151.384
      1020.00      151.384
      1040.00      151.384
      1060.00      151.384
