/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-17.1445.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  33.17 337.01  978.  274.  18 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   33.2 N,   337.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      36.3661
      1.00000      36.3661
      3.00000      36.3661
      7.00000      28.5836
      10.0000      24.9383
      20.0000      19.3561
      30.0000      16.7046
      40.0000      15.6279
      50.0000      15.5098
      70.0000      20.6868
      100.000      36.4578
      150.000      49.9214
      200.000      63.3850
      250.000      76.8486
      300.000      76.8217
      350.000      71.5628
      400.000      79.4472
      450.000      77.2550
      500.000      77.5257
      550.000      70.0341
      600.000      66.4581
      650.000      81.9205
      700.000      89.2991
      750.000      83.6615
      800.000      73.1947
      850.000      74.4837
      875.000      68.9874
      900.000      70.1691
      925.000      73.1941
      950.000      79.5343
      975.000      78.8445
      1000.00      78.8445
      1020.00      78.8445
      1040.00      78.8445
      1060.00      78.8445
