/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-07-29.1601.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  24.25 239.48  918.  274.  16 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   23.7 N,   240.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      40.1532
      1.00000      40.1532
      3.00000      40.1532
      7.00000      30.0387
      10.0000      25.8874
      20.0000      18.9896
      30.0000      16.1382
      40.0000      15.2892
      50.0000      15.7450
      70.0000      22.2894
      100.000      42.1172
      150.000      56.2235
      200.000      70.3298
      250.000      84.4361
      300.000      84.3316
      350.000      82.9007
      400.000      78.9256
      450.000      78.6677
      500.000      80.4963
      550.000      75.2526
      600.000      79.3052
      650.000      75.2516
      700.000      70.2447
      750.000      63.4516
      800.000      61.1518
      850.000      62.4829
      875.000      64.0792
      900.000      73.7646
      925.000      71.6337
      950.000      71.6337
      975.000      71.6337
      1000.00      71.6337
      1020.00      71.6337
      1040.00      71.6337
      1060.00      71.6337
