/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-07-29.1812.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
   9.70 239.47  992.  262.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   10.4 N,   240.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      43.0661
      1.00000      43.0661
      3.00000      43.0661
      7.00000      33.2158
      10.0000      28.4714
      20.0000      19.4183
      30.0000      15.6001
      40.0000      14.8530
      50.0000      15.6677
      70.0000      23.5877
      100.000      43.5475
      150.000      52.3992
      200.000      61.2509
      250.000      70.1026
      300.000      69.3092
      350.000      66.5854
      400.000      66.5130
      450.000      65.0383
      500.000      66.9270
      550.000      68.0677
      600.000      67.9766
      650.000      67.8862
      700.000      69.1370
      750.000      69.6924
      800.000      69.3118
      850.000      68.9677
      875.000      69.2013
      900.000      69.4486
      925.000      69.0936
      950.000      68.4050
      975.000      67.5606
      1000.00      67.0483
      1020.00      67.0483
      1040.00      67.0483
      1060.00      67.0483
