/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-07-29.1910.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
   6.16 239.46  992.  238.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7    6.6 N,   240.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      43.4466
      1.00000      43.4466
      3.00000      43.4466
      7.00000      33.8794
      10.0000      29.5209
      20.0000      19.9138
      30.0000      15.5270
      40.0000      14.7440
      50.0000      15.6201
      70.0000      22.8978
      100.000      41.8224
      150.000      50.5689
      200.000      59.3154
      250.000      68.0619
      300.000      67.3512
      350.000      62.1024
      400.000      66.2598
      450.000      68.2382
      500.000      65.1961
      550.000      69.7197
      600.000      89.5676
      650.000      84.7634
      700.000      69.5060
      750.000      68.4340
      800.000      67.3934
      850.000      67.2403
      875.000      68.3422
      900.000      68.8622
      925.000      68.8277
      950.000      68.9263
      975.000      69.6252
      1000.00      69.5147
      1020.00      69.5147
      1040.00      69.5147
      1060.00      69.5147
