/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-07.2432.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  -5.72 193.12  990.  217.  20 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   -6.6 N,   192.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      42.3925
      1.00000      42.3925
      3.00000      42.3925
      7.00000      32.0940
      10.0000      28.2754
      20.0000      19.9693
      30.0000      15.0749
      40.0000      14.0298
      50.0000      14.4940
      70.0000      22.9506
      100.000      45.0581
      150.000      52.2664
      200.000      59.4748
      250.000      61.3183
      300.000      58.2953
      350.000      57.0471
      400.000      56.6582
      450.000      60.1509
      500.000      62.1012
      550.000      60.5294
      600.000      54.0936
      650.000      55.1097
      700.000      54.6714
      750.000      64.1945
      800.000      66.3394
      850.000      65.6120
      875.000      65.9989
      900.000      66.6984
      925.000      67.3554
      950.000      67.8025
      975.000      68.3483
      1000.00      67.6586
      1020.00      67.6586
      1040.00      67.6586
      1060.00      67.6586
