/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-08.2252.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
 -37.75 183.21 1000.  228.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8  -36.9 N,   182.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      34.0009
      1.00000      34.0009
      3.00000      34.0009
      7.00000      25.8970
      10.0000      24.8091
      20.0000      20.9733
      30.0000      18.0752
      40.0000      16.2732
      50.0000      15.1779
      70.0000      15.4695
      100.000      20.2492
      150.000      27.2436
      200.000      35.5180
      250.000      43.7925
      300.000      61.0086
      350.000      61.8583
      400.000      62.3990
      450.000      59.1718
      500.000      55.6931
      550.000      56.4772
      600.000      58.0297
      650.000      57.7300
      700.000      56.7263
      750.000      57.7965
      800.000      58.4647
      850.000      59.4262
      875.000      59.2091
      900.000      59.1587
      925.000      59.0616
      950.000      59.2350
      975.000      59.7189
      1000.00      59.6590
      1020.00      59.6590
      1040.00      59.6590
      1060.00      59.6590
