/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-13.2450.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
 -56.55 190.73  979.  288.  17 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8  -55.9 N,   190.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      95.7279
      1.00000      95.7279
      3.00000      95.7279
      7.00000      51.0782
      10.0000      28.3743
      20.0000      18.8712
      30.0000      17.8262
      40.0000      16.6851
      50.0000      15.8160
      70.0000      15.4100
      100.000      17.5767
      150.000      24.3886
      200.000      40.3352
      250.000      50.5687
      300.000      60.8023
      350.000      60.1524
      400.000      59.1171
      450.000      58.6576
      500.000      58.2048
      550.000      58.9766
      600.000      60.7146
      650.000      62.2327
      700.000      62.0321
      750.000      61.9679
      800.000      61.2514
      850.000      59.8563
      875.000      59.0578
      900.000      58.8633
      925.000      59.0179
      950.000      59.4235
      975.000      60.7906
      1000.00      60.7906
      1020.00      60.7906
      1040.00      60.7906
      1060.00      60.7906
