/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-17.0804.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  -6.94 344.61 1008.  288.  11 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   -6.6 N,   345.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      42.3925
      1.00000      42.3925
      3.00000      42.3925
      7.00000      32.0940
      10.0000      28.2754
      20.0000      19.9693
      30.0000      15.0749
      40.0000      14.0298
      50.0000      14.4940
      70.0000      21.9779
      100.000      41.7684
      150.000      51.7724
      200.000      61.7764
      250.000      71.7804
      300.000      71.7804
      350.000      82.6749
      400.000      98.0198
      450.000      91.7694
      500.000      74.2080
      550.000      67.0943
      600.000      64.4471
      650.000      161.331
      700.000      186.181
      750.000      177.855
      800.000      250.124
      850.000      250.124
      875.000      250.124
      900.000      250.124
      925.000      250.124
      950.000      250.124
      975.000      250.124
      1000.00      250.124
      1020.00      250.124
      1040.00      250.124
      1060.00      250.124
