/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom-1/RAW/ATom_raw_2016-08-17.1417.asc
/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/ATom_DATA/ATom_merge_V2_1925/data/MER-1HZ_DC8_ATom-1_V2.nc
  31.57 339.21 1003.  228.  19 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   31.3 N,   340.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      37.2137
      1.00000      37.2137
      3.00000      37.2137
      7.00000      28.9594
      10.0000      25.2053
      20.0000      19.2095
      30.0000      16.4923
      40.0000      15.4443
      50.0000      15.4237
      70.0000      20.9574
      100.000      38.8266
      150.000      52.0155
      200.000      65.2044
      250.000      78.3933
      300.000      74.9019
      350.000      79.7624
      400.000      86.3523
      450.000      78.7823
      500.000      80.7047
      550.000      76.3812
      600.000      77.0608
      650.000      71.4249
      700.000      71.0212
      750.000      73.8617
      800.000      77.3124
      850.000      75.0775
      875.000      70.4072
      900.000      71.4871
      925.000      78.4925
      950.000      75.0184
      975.000      72.2706
      1000.00      76.6945
      1020.00      76.6945
      1040.00      76.6945
      1060.00      76.6945
