/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090112.1928.txt
  65.18 211.93  970.  330.  15 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   65.4 N,   212.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      155.034
      1.00000      155.034
      3.00000      155.034
      7.00000      69.9966
      10.0000      45.8825
      20.0000      21.9223
      30.0000      18.3748
      40.0000      17.3932
      50.0000      16.8312
      70.0000      16.0894
      100.000      19.0193
      150.000      26.0853
      200.000      39.6092
      250.000      64.4481
      300.000      85.8237
      350.000      110.626
      400.000      135.429
      450.000      126.792
      500.000      116.286
      550.000      121.677
      600.000      121.780
      650.000      121.689
      700.000      121.387
      750.000      119.999
      800.000      120.767
      850.000      120.267
      875.000      120.772
      900.000      122.165
      925.000      122.753
      950.000      129.030
      975.000      128.325
      1000.00      128.325
      1020.00      128.325
      1040.00      128.325
      1060.00      128.325
