/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090114.2716.txt
  21.97 202.61 1013.  162.  17 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   21.8 N,   202.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      39.0177
      1.00000      39.0177
      3.00000      39.0177
      7.00000      31.4611
      10.0000      26.9937
      20.0000      18.7189
      30.0000      15.5935
      40.0000      14.2465
      50.0000      15.2646
      70.0000      26.4893
      100.000      40.0244
      150.000      62.5829
      200.000      78.1110
      250.000      126.401
      300.000      121.213
      350.000      82.7025
      400.000      77.8083
      450.000      81.6913
      500.000      82.9814
      550.000      87.4172
      600.000      90.2075
      650.000      82.8200
      700.000      82.6919
      750.000      83.7733
      800.000      107.377
      850.000      95.0023
      875.000      88.8149
      900.000      82.6275
      925.000      82.1122
      950.000      80.6517
      975.000      80.6517
      1000.00      80.6517
      1020.00      80.6517
      1040.00      80.6517
      1060.00      80.6517
