/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090116.2255.txt
   9.42 197.61  978.  330.  14 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1    8.5 N,   197.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      42.4937
      1.00000      42.4937
      3.00000      42.4937
      7.00000      32.9430
      10.0000      28.1249
      20.0000      18.9194
      30.0000      14.7575
      40.0000      13.0967
      50.0000      15.4146
      70.0000      32.8744
      100.000      55.3031
      150.000      64.1810
      200.000      73.0588
      250.000      81.9367
      300.000      81.9367
      350.000      81.9367
      400.000      79.3921
      450.000      87.1705
      500.000      88.3755
      550.000      89.6739
      600.000      89.7900
      650.000      96.1675
      700.000      88.4264
      750.000      79.9464
      800.000      84.4414
      850.000      92.0000
      875.000      76.9767
      900.000      75.1250
      925.000      73.0300
      950.000      73.0300
      975.000      73.0300
      1000.00      73.0300
      1020.00      73.0300
      1040.00      73.0300
      1060.00      73.0300
