/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090116.2539.txt
  -5.02 192.92  974.  329.  16 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1   -4.7 N,   192.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      41.4092
      1.00000      41.4092
      3.00000      41.4092
      7.00000      31.6427
      10.0000      27.1227
      20.0000      18.6076
      30.0000      14.7194
      40.0000      13.1328
      50.0000      15.0853
      70.0000      30.6473
      100.000      54.1160
      150.000      52.9413
      200.000      51.7666
      250.000      50.5919
      300.000      50.5919
      350.000      50.5919
      400.000      48.8708
      450.000      50.1341
      500.000      47.8511
      550.000      48.0750
      600.000      45.2383
      650.000      46.1519
      700.000      46.6957
      750.000      54.4014
      800.000      55.2829
      850.000      56.2188
      875.000      56.7000
      900.000      56.9833
      925.000      56.6000
      950.000      56.7167
      975.000      57.0725
      1000.00      57.0725
      1020.00      57.0725
      1040.00      57.0725
      1060.00      57.0725
