/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090123.2220.txt
 -38.09 181.61  986.  329.  16 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -38.8 N,   182.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.3308
      1.00000      31.3308
      3.00000      31.3308
      7.00000      26.3237
      10.0000      24.0968
      20.0000      19.5957
      30.0000      17.3344
      40.0000      15.9011
      50.0000      14.8075
      70.0000      16.7201
      100.000      24.9940
      150.000      35.1608
      200.000      45.3275
      250.000      55.4942
      300.000      55.4942
      350.000      55.4942
      400.000      50.3000
      450.000      49.3777
      500.000      53.4400
      550.000      56.4494
      600.000      58.5217
      650.000      53.5064
      700.000      51.1738
      750.000      47.3100
      800.000      51.0483
      850.000      48.9570
      875.000      45.3667
      900.000      40.8867
      925.000      39.3367
      950.000      39.5117
      975.000      39.8017
      1000.00      39.8017
      1020.00      39.8017
      1040.00      39.8017
      1060.00      39.8017
