/home/sma/WORKSHOP_FOR_MOPITT_V10_VALIDATION/HIPPO_DATA/hippo1_20090123.2740.txt
 -18.15 209.61 1008.  216.  15 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
CO_QCLS extrapolated with CAM-Chem/MERRA monthly mean for month# 1  -18.0 N,   210.0 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      37.7138
      1.00000      37.7138
      3.00000      37.7138
      7.00000      29.0224
      10.0000      24.8033
      20.0000      17.8598
      30.0000      14.8737
      40.0000      13.5851
      50.0000      14.1881
      70.0000      25.3699
      100.000      38.3481
      150.000      46.5240
      200.000      54.7000
      250.000      56.7438
      300.000      54.2205
      350.000      51.6972
      400.000      54.7800
      450.000      53.8960
      500.000      50.7300
      550.000      53.1200
      600.000      55.5290
      650.000      54.5971
      700.000      57.4680
      750.000      61.8750
      800.000      65.7820
      850.000      67.3375
      875.000      63.5225
      900.000      61.8783
      925.000      61.8783
      950.000      61.8783
      975.000      61.8783
      1000.00      61.8783
      1020.00      61.8783
      1040.00      61.8783
      1060.00      61.8783
